stairs.thisTrialN,stairs.stepSize,stairs.intensity,text.started,text.stopped,corrAns,tilt,key_resp.corr,fixation.started,fixation.stopped,grating.started,grating.stopped,stairs.response,key_resp.rt,key_resp.started,key_resp.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
23,0.5,1.5,,,right,1.5,1,43.25877543899696,43.7587465530014,43.74223355099821,44.04226106599526,1,0.539754584999173,43.74223355099821,None,,,,001,2025_Sep_02_1030,Adaptive staircase experiment,2021.2.3,59.94839941398355,
24,0.5,1.5,,,left,-1.5,1,44.30906170399976,44.80901298800018,44.77572338299797,45.075593814995955,1,0.4511802289998741,44.77572338299797,None,,,,001,2025_Sep_02_1030,Adaptive staircase experiment,2021.2.3,59.94839941398355,
25,0.5,1.5,,,left,-1.5,1,45.258523167998646,45.75910436499544,45.725676529997145,46.025764912999875,1,0.5142384349965141,45.725676529997145,None,,,,001,2025_Sep_02_1030,Adaptive staircase experiment,2021.2.3,59.94839941398355,
26,0.5,1.0,,,right,1.0,1,46.25915269799589,46.75766872100212,46.72574056799931,47.02569747700181,1,0.42121504000533605,46.72574056799931,None,,,,001,2025_Sep_02_1030,Adaptive staircase experiment,2021.2.3,59.94839941398355,
27,0.5,1.0,,,right,1.0,1,47.175748082998325,47.67573823499697,47.659112752997316,47.95901108199905,1,0.36763894399337005,47.659112752997316,None,,,,001,2025_Sep_02_1030,Adaptive staircase experiment,2021.2.3,59.94839941398355,
28,0.5,1.0,,,left,-1.0,1,48.059101523998834,48.55917079199571,48.525879397995595,48.82583516700106,1,0.40188348200172186,48.525879397995595,None,,,,001,2025_Sep_02_1030,Adaptive staircase experiment,2021.2.3,59.94839941398355,
29,0.5,1.0,,,left,-1.0,1,48.959316865999426,49.459071165998466,49.44251394699677,49.74255014099617,1,0.4111500930011971,49.44251394699677,None,,,,001,2025_Sep_02_1030,Adaptive staircase experiment,2021.2.3,59.94839941398355,
30,0.5,1.0,,,left,-1.0,1,49.87461874700239,50.37639248400228,50.34293164200062,50.64083916600066,1,0.5768178049984272,50.34293164200062,None,,,,001,2025_Sep_02_1030,Adaptive staircase experiment,2021.2.3,59.94839941398355,
31,0.5,1.0,,,left,-1.0,1,50.94263846299873,51.442621738002345,51.40936726999644,51.70950297499803,1,0.41318953599693486,51.40936726999644,None,,,,001,2025_Sep_02_1030,Adaptive staircase experiment,2021.2.3,59.94839941398355,
32,0.5,1.0,,,left,-1.0,1,51.842796806995466,52.34283688299911,52.309560693000094,52.6095915650003,1,0.34105354599887505,52.309560693000094,None,,,,001,2025_Sep_02_1030,Adaptive staircase experiment,2021.2.3,59.94839941398355,
33,0.5,1.0,,,left,-1.0,1,52.67617731799692,53.17626187399583,53.14285698599997,53.44291273599811,1,0.3786281450011302,53.14285698599997,None,,,,001,2025_Sep_02_1030,Adaptive staircase experiment,2021.2.3,59.94839941398355,
34,0.5,1.0,,,right,1.0,1,53.54297834300087,54.042952099000104,54.00963680099812,54.3100023520019,1,0.4229204040020704,54.00963680099812,None,,,,001,2025_Sep_02_1030,Adaptive staircase experiment,2021.2.3,59.94839941398355,
35,0.5,1.0,,,right,1.0,1,54.45971185500093,54.95982760199695,54.926334197996766,55.226389654999366,1,0.5021239060006337,54.926334197996766,None,,,,001,2025_Sep_02_1030,Adaptive staircase experiment,2021.2.3,59.94839941398355,
36,0.5,1.0,,,right,1.0,1,55.45903977499984,55.95983582199551,55.94315211199864,56.243248742001015,1,0.4053245939940098,55.94315211199864,None,,,,001,2025_Sep_02_1030,Adaptive staircase experiment,2021.2.3,59.94839941398355,
37,0.5,1.0,,,left,-1.0,1,56.376449151001,56.87646231499821,56.85988531199837,57.159766641001625,1,0.4463756370023475,56.85988531199837,None,,,,001,2025_Sep_02_1030,Adaptive staircase experiment,2021.2.3,59.94839941398355,
38,0.5,1.0,,,left,-1.0,1,57.32647025199549,57.82655682699988,57.80996544499794,58.10992070000066,1,0.4483415600043372,57.80996544499794,None,,,,001,2025_Sep_02_1030,Adaptive staircase experiment,2021.2.3,59.94839941398355,
39,0.5,1.0,,,left,-1.0,1,58.27647932800028,58.776793199001986,58.743339273001766,59.04333087599662,1,0.5348856080017867,58.743339273001766,None,,,,001,2025_Sep_02_1030,Adaptive staircase experiment,2021.2.3,59.94839941398355,
40,0.5,1.0,,,left,-1.0,1,59.31009301800077,59.810086117002356,59.7934331869983,60.093389681998815,1,0.36874787799752085,59.7934331869983,None,,,,001,2025_Sep_02_1030,Adaptive staircase experiment,2021.2.3,59.94839941398355,
41,0.5,1.0,,,right,1.0,1,60.19343855999614,60.69343851599842,60.67674326300039,60.97677783299878,1,0.38631626200367464,60.67674326300039,None,,,,001,2025_Sep_02_1030,Adaptive staircase experiment,2021.2.3,59.94839941398355,
42,0.5,1.0,,,right,1.0,1,61.09351698200044,61.59350216099847,61.57700421100162,61.87689010000031,1,0.5190578629990341,61.57700421100162,None,,,,001,2025_Sep_02_1030,Adaptive staircase experiment,2021.2.3,59.94839941398355,
43,0.5,1.0,,,right,1.0,1,62.12633439199999,62.6269117970005,62.610240392998094,62.9102761260001,1,0.638683741002751,62.610240392998094,None,,,,001,2025_Sep_02_1030,Adaptive staircase experiment,2021.2.3,59.94839941398355,
44,0.5,1.0,,,left,-1.0,1,63.27684639200015,63.777023497998016,63.743616326995834,64.04366155999742,1,0.5063934220015653,63.743616326995834,None,,,,001,2025_Sep_02_1030,Adaptive staircase experiment,2021.2.3,59.94839941398355,
45,0.5,1.0,,,right,1.0,1,64.27732109399949,64.77720596700237,64.74392375699972,65.04388636699878,1,0.6410432300035609,64.74392375699972,None,,,,001,2025_Sep_02_1030,Adaptive staircase experiment,2021.2.3,59.94839941398355,
46,0.5,1.0,,,left,-1.0,1,65.41067731799558,65.91040782599885,65.87719720300083,66.17712171599851,1,0.4157597570010694,65.87719720300083,None,,,,001,2025_Sep_02_1030,Adaptive staircase experiment,2021.2.3,59.94839941398355,
47,0.5,1.0,,,right,1.0,1,66.31035487700137,66.8104538530024,66.79383139900165,67.0938009859965,1,0.4949334299963084,66.79383139900165,None,,,,001,2025_Sep_02_1030,Adaptive staircase experiment,2021.2.3,59.94839941398355,
48,0.5,1.0,,,right,1.0,1,67.31022254799609,67.81062222799665,67.77738904600119,68.07728514300106,1,0.7774100609967718,67.77738904600119,None,,,,001,2025_Sep_02_1030,Adaptive staircase experiment,2021.2.3,59.94839941398355,
49,0.5,1.0,,,left,-1.0,1,68.57734172799974,69.0772353909997,69.04400160600198,69.34400271299819,1,0.40164353299769573,69.04400160600198,None,,,,001,2025_Sep_02_1030,Adaptive staircase experiment,2021.2.3,59.94839941398355,
50,0.5,1.0,,,right,1.0,1,69.47738910000044,69.9773736069983,69.9606471579973,70.26060937799775,1,0.4919448009968619,69.9606471579973,None,,,,001,2025_Sep_02_1030,Adaptive staircase experiment,2021.2.3,59.94839941398355,
